Operacion [+] hecha por [john] en [2021-09-12T19:00:13.459874400] con resultado: 30.0	 atendido por [SERV12002]
Operacion [+] hecha por [john] en [2021-09-12T19:00:22.043581100] con resultado: 40.0	 atendido por [SERV12001]
Operacion [-] hecha por [john] en [2021-09-12T19:00:29.174911900] con resultado: -20.0	 atendido por [SERV13001]
Operacion [*] hecha por [john] en [2021-09-12T19:00:34.943282900] con resultado: 300.0	 atendido por [SERV14001]
Operacion [/] hecha por [john] en [2021-09-12T19:00:40.684057800] con resultado: 0.0	 atendido por [SERV11001]
Operacion [+] hecha por [john] en [2021-09-12T19:01:40.400533400] con resultado: 30.0	 atendido por [SERV12002]
Operacion [+] hecha por [juan] en [2021-09-12T19:01:40.495126400] con resultado: 153.0	 atendido por [SERV12001]
Operacion [+] hecha por [paula] en [2021-09-12T19:01:40.586789400] con resultado: 30.0	 atendido por [SERV12002]
Operacion [+] hecha por [andres] en [2021-09-12T19:01:40.697690900] con resultado: 153.0	 atendido por [SERV12001]
Operacion [+] hecha por [john] en [2021-09-12T19:01:40.786677700] con resultado: 98.0	 atendido por [SERV12002]
Operacion [+] hecha por [maria] en [2021-09-12T19:01:40.920672500] con resultado: 131.0	 atendido por [SERV12001]
Operacion [-] hecha por [john] en [2021-09-12T19:01:41.043104400] con resultado: 80.0	 atendido por [SERV13001]
Operacion [-] hecha por [juan] en [2021-09-12T19:01:41.152953900] con resultado: 177.0	 atendido por [SERV13002]
Operacion [-] hecha por [paula] en [2021-09-12T19:01:41.291652200] con resultado: 130.0	 atendido por [SERV13001]
Operacion [-] hecha por [andres] en [2021-09-12T19:01:41.418173400] con resultado: 197.0	 atendido por [SERV13002]
Operacion [-] hecha por [john] en [2021-09-12T19:01:41.536161400] con resultado: 682.0	 atendido por [SERV13001]
Operacion [-] hecha por [andrea] en [2021-09-12T19:01:41.632989300] con resultado: 9869.0	 atendido por [SERV13002]
Operacion [/] hecha por [john] en [2021-09-12T19:01:41.728929500] con resultado: 50.0	 atendido por [SERV11001]
Operacion [/] hecha por [juan] en [2021-09-12T19:01:42.077143100] con resultado: 50.0	 atendido por [SERV11002]
Operacion [/] hecha por [paula] en [2021-09-12T19:01:42.231469400] con resultado: 1.0	 atendido por [SERV11001]
Operacion [/] hecha por [andres] en [2021-09-12T19:01:42.311667300] con resultado: 0.0	 atendido por [SERV11002]
Operacion [-] hecha por [john] en [2021-09-12T19:01:42.418399200] con resultado: Error divisor=0	 atendido por [SERV11001]
Operacion [-] hecha por [andrea] en [2021-09-12T19:01:42.530207100] con resultado: Error divisor=0	 atendido por [SERV11002]
Operacion [*] hecha por [john] en [2021-09-12T19:01:42.657716500] con resultado: 200.0	 atendido por [SERV14001]
Operacion [*] hecha por [juan] en [2021-09-12T19:01:43.032943600] con resultado: 1800.0	 atendido por [SERV14004]
Operacion [*] hecha por [paula] en [2021-09-12T19:01:43.401626300] con resultado: 18000.0	 atendido por [SERV14002]
Operacion [*] hecha por [andres] en [2021-09-12T19:01:43.588736500] con resultado: 32300.0	 atendido por [SERV14003]
Operacion [*] hecha por [john] en [2021-09-12T19:01:43.693011300] con resultado: 0.0	 atendido por [SERV14001]
Operacion [*] hecha por [andrea] en [2021-09-12T19:01:43.823079800] con resultado: 0.0	 atendido por [SERV14004]
Operacion [+] hecha por [john] en [2021-09-12T19:01:43.945756100] con resultado: 30.0	 atendido por [SERV12002]
Operacion [+] hecha por [juan] en [2021-09-12T19:01:44.086825200] con resultado: 153.0	 atendido por [SERV12001]
Operacion [+] hecha por [paula] en [2021-09-12T19:01:44.212723900] con resultado: 30.0	 atendido por [SERV12002]
Operacion [+] hecha por [andres] en [2021-09-12T19:01:44.335324100] con resultado: 153.0	 atendido por [SERV12001]
Operacion [+] hecha por [john] en [2021-09-12T19:01:44.461485700] con resultado: 98.0	 atendido por [SERV12002]
Operacion [+] hecha por [maria] en [2021-09-12T19:01:44.585568100] con resultado: 131.0	 atendido por [SERV12001]
Operacion [-] hecha por [john] en [2021-09-12T19:01:44.720745900] con resultado: 80.0	 atendido por [SERV13001]
Operacion [-] hecha por [juan] en [2021-09-12T19:01:44.858582300] con resultado: 177.0	 atendido por [SERV13002]
Operacion [-] hecha por [paula] en [2021-09-12T19:01:44.998712900] con resultado: 130.0	 atendido por [SERV13001]
Operacion [-] hecha por [andres] en [2021-09-12T19:01:45.123042700] con resultado: 197.0	 atendido por [SERV13002]
Operacion [-] hecha por [john] en [2021-09-12T19:01:45.248855500] con resultado: 682.0	 atendido por [SERV13001]
Operacion [-] hecha por [andrea] en [2021-09-12T19:01:45.375473700] con resultado: 9869.0	 atendido por [SERV13002]
Operacion [/] hecha por [john] en [2021-09-12T19:01:45.498097300] con resultado: 50.0	 atendido por [SERV11001]
Operacion [/] hecha por [juan] en [2021-09-12T19:01:45.638762300] con resultado: 50.0	 atendido por [SERV11002]
Operacion [/] hecha por [paula] en [2021-09-12T19:01:45.750423700] con resultado: 1.0	 atendido por [SERV11001]
Operacion [/] hecha por [andres] en [2021-09-12T19:01:45.876092400] con resultado: 0.0	 atendido por [SERV11002]
Operacion [-] hecha por [john] en [2021-09-12T19:01:46.001546500] con resultado: Error divisor=0	 atendido por [SERV11001]
Operacion [-] hecha por [andrea] en [2021-09-12T19:01:46.128024100] con resultado: Error divisor=0	 atendido por [SERV11002]
Operacion [*] hecha por [john] en [2021-09-12T19:01:46.256013500] con resultado: 200.0	 atendido por [SERV14002]
Operacion [*] hecha por [juan] en [2021-09-12T19:01:46.385093700] con resultado: 1800.0	 atendido por [SERV14003]
Operacion [*] hecha por [paula] en [2021-09-12T19:01:46.507088800] con resultado: 18000.0	 atendido por [SERV14001]
Operacion [*] hecha por [andres] en [2021-09-12T19:01:46.634394300] con resultado: 32300.0	 atendido por [SERV14004]
